# Generated from RO3 Recovery Localization_zh_CN.lua.bytes
# Japanese values are NOT stored here; split_1000 parts 1-27 remain canonical.
# zh_CN_sha256=c2b07cf34c138d97351273ad00b1db2645a47be1ff49f4e108f531911963c614
# en_sha256=5ea8f468a675efe64a71eef887e485266d58edf6ce69e52a3d12abbe087340c7
# english_skill_ids_verified=1823
ID	English	ChineseSimplified
10110201530	P@{1} Blue Bubble@{2}	P@{1}蓝色泡泡@{2}
10110201531	P@{1} Green Bubble@{2}	P@{1}绿色泡泡@{2}
10110201532	Link Effect	连线特效
10110201533	Eight-Direction Wave	八方向海浪
10110201534	Water Jet Damage	水柱伤害
10110201535	Ground Red Bubble	地面红色泡泡
10110201536	Ground Yellow Bubble	地面黄色泡泡
10110201537	Ground Blue Bubble	地面蓝色泡泡
10110201538	Ground Green Bubble	地面绿色泡泡
10110201539	Create @{1} Ground Bubbles	创建@{1}个地面泡泡
10110201540	Create @{1} Differently Colored Homing Bubbles	创建@{1}个不同颜色追踪泡泡
10110201541	Create @{1} Same-Color Homing Bubbles	创建@{1}个同颜色追踪泡泡
10110201542	Boss Movement Detection	Boss移动检测
10110201543	@{1} Color Tracks @{2} Players	@{1}色追@{2}人
10110201544	Normal Attack Shell	普攻壳
10110201545	Whirling Dance Step	回旋舞步
10110201546	Dazzling Dance Step	炫目舞步
10110201547	Stomping Dance Step	重踏舞步
10110201548	Resonant Dance Step	共鸣舞步
10110201549	Dance Machine	跳舞机
10110201550	Rhythm Game Interaction	音游交互
10110201551	Dance Move	舞动
10110201552	Up_Trigger Check	上_触发判定
10110201553	Down_Trigger Check	下_触发判定
10110201554	Left_Trigger Check	左_触发判定
10110201555	Right_Trigger Check	右_触发判定
10110201556	Dance Machine_Remove Transform Buff	跳舞机_移除变身buff
10110201557	Tile-Occupying Derived Skill@{1}	占用格子的派生技能@{1}
10110201558	Furious Strike	愤怒一击
10110201559	Dance Machine_Remove Transform Buff[Consecutive Transform Fix]	跳舞机_移除变身buff[连续变身修正]
10110201560	Boss Up	Bosss上
10110201561	Boss Down	Bosss下
10110201562	Boss Left	Bosss左
10110201563	Boss Right	Bosss右
10110201564	Up Down Left Right-Correct Feedback	上下左右-正确反馈
10110201565	Up, Down, Left, Right-Failure Feedback	上下左右-失败反馈
10110201566	Skill@{1}_Flash Bomb (Variant) Targeting	技能@{1}_闪光弹(变种)选点
10110201567	Skill@{1}_Flash Bomb (Variant) Damage	技能@{1}_闪光弹(变种)伤害
10110201568	Skill@{1}_Summon X@{2} Cross Compression Zone	技能@{1}_召唤X@{2}十字压缩空间
10110201569	Skill@{1}_Summon X Cross@{2} Compression Zone	技能@{1}_召唤X十@{2}字压缩空间
10110201570	Skill@{1}_Summon Eight-Way Compression Zone	技能@{1}_召唤米字压缩空间
10110201571	Skill@{1}_Flash Bomb Hell Mode	技能@{1}_闪光弹地狱模式
10110201572	Rhythmic Moonlit Challenger@{1}s	节奏大师@{1}s
10110201573	Skill@{1}_Dance Machine_New	技能@{1}_跳舞机_新
10110201574	Skill@{1}_Player Transforms into Dancing NPC	技能@{1}_玩家变身跳舞NPC
10110201575	Skill@{1}_Play VFX When Dancing NPC Exits	技能@{1}_跳舞NPC离场播放特效
10110201576	Boss Creates Interaction Magic Circle	boss创建交互法阵
10110201577	Yellow Interaction Circle	黄色交互踩圈
10110201578	Rhythmic Stomp	节奏踩踏
10110201579	Create Interaction Magic Circle@{1}	创建交互法阵@{1}
10110201580	Create Interaction Magic Circle (Deformed)@{1}	创建交互法阵(变形)@{1}
10110201581	Purple Interaction Circle	紫色交互踩圈
10110201582	Hold Skill VFX	拖住技能特效
10110201583	Skill@{1}(New)_Summon Compression Zone	技能@{1}(新)_召唤压缩空间
10110201584	Skill@{1}_Hell Mode@{2}	技能@{1}_地狱模式@{2}
10110201585	Skill@{1}(New)_Compression Zone Damage	技能@{1}(新)_压缩空间伤害
10110201586	Skill@{1}_Summon Cross Compression Zone	技能@{1}_召唤十字压缩空间
10110201587	Skill@{1}_Cross Compression Zone Player Damage	技能@{1}_十字压缩空间玩家伤害
10110201588	Skill@{1}_Summon X-Shaped Compression Zone	技能@{1}_召唤X字压缩空间
10110201589	Skill@{1}_Hard Mode@{2}	技能@{1}_困难模式@{2}
10110201590	Skill@{1}_Summon Circle@{2}+Transform+Circle-Stepping Interaction Skill	技能@{1}_召唤圈@{2}+变身+踩圈交互技能
10110201591	Skill@{1}_Summon Circle@{2}	技能@{1}_召唤圈@{2}
10110201592	Skill@{1}_Remove Circle-Stepping Interaction Skill	技能@{1}_移除踩圈交互技能
10110201593	Skill@{1}Charge Up	技能@{1}蓄势
10110201594	Skill@{1}Multihit Charge Up	技能@{1}蓄势多段
10110201595	Skill@{1}Super Multihit Charge Up	技能@{1}蓄势超级多段
10110201596	Skill@{1}Shout	技能@{1}呐喊
10110201597	Skill@{1}Shout@{2}	技能@{1}呐喊@{2}
10110201598	Skill@{1}Meteor Shower	技能@{1}流星雨
10110201599	Skill@{1}Meteor Shower@{2}	技能@{1}流星雨@{2}
10110201600	Skill@{1}Melodic Flame@{2}	技能@{1}音律之火@{2}
10110201601	Skill@{1}Call@{2}	技能@{1}呼唤@{2}
10110201602	Skill@{1}Memory Game	技能@{1}记忆游戏
10110201603	Skill@{1}Memory Game_Magic Circle Skill	技能@{1}记忆游戏_法阵技能
10110201604	Skill@{1}Drumbeat Cage	技能@{1}鼓点牢笼
10110201605	Skill@{1}Drumbeat Cage_Area Knockback	技能@{1}鼓点牢笼_范围击退
10110201606	Skill@{1}Intoxication	技能@{1}陶醉
10110201607	Skill@{1}Enrage Countdown	技能@{1}狂暴倒计时
10110201608	Skill@{1}Phase Transition Performance	技能@{1}转阶段表演
10110201609	Obtain Red Note	获得红色音符
10110201610	Obtain Blue Note	获得蓝色音符
10110201611	Obtain Yellow Note	获得黄色音符
10110201612	Obtain Green Note	获得绿色音符
10110201613	Compose Movement	谱写乐章
10110201614	Perform Movement	执行乐章
10110201615	Final Movement	最终乐章
10110201616	Normal Attack_@{1}	普攻_@{1}[无需翻译]
10110201617	Triple Strike_@{1}	三连击_@{1}[无需翻译]
10110201618	Lock-On Rectangle	锁定矩形[无需翻译]
10110201619	Roar Rockfall-No Logic Yet	怒吼落石-暂无逻辑[无需翻译]
10110201620	One-Hit KO Targeting-No Logic Yet	秒杀点名-暂无逻辑[无需翻译]
10110201621	Circular AoE-No Logic Yet	圆型AOE-暂无逻辑[无需翻译]
10110201622	Advancing Cone Damage-No Logic Yet	扇形推进伤害-暂无逻辑[无需翻译]
10110201623	Skill@{1}	技能@{1}
10110201624	Skill@{1}	技能@{1}(无需翻译)
10110201625	Skill@{1} Variant	技能@{1}衍生(无需翻译)
10110201626	Giant Normal Attack	巨型普攻(无需翻译)
10110201627	Weak	虚弱(无需翻译)
10110201628	Linked Skill	连线技能
10110201629	Linked Skill Variant@{1}	连线衍生技能@{1}
10110201630	Normal Attack@{1}	普攻@{1}(无需翻译)
10110201632	Knight Note@{1}	骑士音符@{1}
10110201633	Crusader Note@{1}	十字军音符@{1}
10110201634	Mage Note@{1}	法师音符@{1}
10110201635	Hunter Note@{1}	猎人音符@{1}
10110201636	Battle Chant Harmony - Consonance	圣音同谐-协和音
10110201637	Melodic Flow	音流
10110201638	Battle Chant Harmony - Rhythm	圣音同谐-韵律
10110201639	Battle Chant Harmony - Resonance	圣音同谐-共鸣
10110201640	Battle Chant Harmony - Psalm	圣音同谐-诗篇
10110201641	Battle Chant Harmony - Chorus	圣音同谐-合唱
10110201642	Song of Suffering - Organum	苦难谏歌-奥尔加农
10110201643	Song of Suffering - Murmur	苦难谏歌-低鸣
10110201644	Song of Suffering - Baptism	苦难谏歌-洗礼
10110201645	Song of Suffering - Sacred Music Incarnate	苦难谏歌-圣乐真身
10110201646	Musical Phrase	乐句
10110201647	Priest Note@{1}	牧师音符@{1}
10110201648	Assassin Note@{1}	刺客音符@{1}
10110201649	Merchant Note@{1}	商人音符@{1}
10110201650	Solace of Eternal Silence	永寂慰藉
10110201651	Melodic Axe Tornado	音律战斧飓风
10110201652	Melodic Axe Tornado - Enhance	音律战斧飓风-强化
10110201653	Melodic High-Energy Impact	音律高能冲击
10110201654	Melody Cannon	音律加农炮
10110201655	Melody Cannon - Enhance	音律加农炮-强化
10110201656	Melody Vulcan	音律火神炮
10110201657	Melody Bombardment	音律轰炸
10110201658	Melody Burst	音律爆发
10110201659	Melody Impact	音律冲击
10110201660	Melody Vortex	音律漩涡
10110201661	Melody Hurricane	音律飓风
10110201662	Melody Tidal Wave	音律巨浪
10110201663	Enhanced Shield Press	强化盾牌压制
10110201664	Moonlit Echo	月下回响
10110201665	Radiant Bloom	光芒绽放
10110201666	Golden Moon Ring	金色月轮
10110201667	Brilliant Nova	璀璨新星
10110201668	Guardian's Might	守护之力
10110201669	Unyielding Will	不屈意志
10110201670	Absolute Defense	绝对防御
10110201671	Accented Assault	重音强袭
10110201672	Enhanced Focused Arrow Strike	强化瞄准射击
10110201673	Enhanced Focused Arrow Strike (Unlimited Shooting)	强化瞄准射击（无限射击）
10110201674	Dance Move: Wolf Pack	舞动狼群
10110201675	Coordinated Hunt	联合狩猎
10110201676	Rhythmic Wolf King	律动群狼之王
10110201677	Rhythmic Warg Minion (Warg Charge)	律动之狼跟班（狼突击）
10110201678	Rhythmic Warg Minion (Warg Bite)	律动之狼跟班（狼撕咬）
10110201679	Rhythmic Arrow	律动矢音
10110201680	Infinite Rhapsody	无限狂想
10110201681	Gale Beat	疾风节拍
10110201682	Celestial Symphony	星穹交响
10110201683	Wolf Pack Disco	群狼迪斯科
10110201684	Rhythmic Warg	律动之狼
10110201685	Wind-Pressure Blade	风压飞刃
10110201686	Hundred Spear - Enhance	强化百矛穿刺
10110201687	Ultimate Hundred Spear	终极百矛穿刺
10110201688	Precision Thrust	精准刺击
10110201689	Sonic Burst	音速爆裂
10110201691	Half-Dragon Form	半龙化
10110201692	Sweep Attack	横扫千军
10110201693	Return of the Demon King	魔王再临
10110201694	Pixel Thrust	像素突刺
10110201695	Beat Bounce	音符跳动
10110201696	Electro Rock	电子摇滚
10110201697	Double Volume	双倍音量
10110201698	Shadow Loop	影回环
10110201699	Flowing Shadow	流影
10110201700	Thousand Shadows	千影
10110201701	Shadow Guard	御影
10110201702	Piercing Shadow	穿影
10110201703	Move back Shadow Echo	后退回影
10110201704	Cross Ripper Slasher	回旋十字斩
10110201705	Rock Step	摇滚步
10110201706	Graffiti Mastery	街头涂鸦
10110201707	Thomas Flare	托马斯回旋
10110201708	DJ Reverb	打碟混响
10110201709	Triple Rhyme	三连押
10110201710	Hip-Hop Impersonation	嘻哈模仿秀
10110201711	Encore	安可
10110201712	Freestyle Rap	自由式说唱
10110201713	Petrify Curse	石化诅咒
10110201714	Destructive Flame	毁灭烈焰
10110201715	Jack Frost (Copy)	霜冻爆破(复制)
10110201716	Earth Strain (Copy)	大地扭曲(复制)
10110201717	Crimson Rock (Copy)	深红陨石(复制)
10110201718	Thunderclap (Copy)	霹雳雷霆(复制)
10110201719	Comet (Copy)	破坏彗星(复制)
10110201720	Tetra Vortex (Copy)	元素漩涡(复制)
10110201721	Meteor	流星
10110201722	Meteor (Copy)	流星(复制)
10110201723	White Imprison Trigger	白色监狱触发
10110201724	Psychokinetic Astral Body (Copy)	念动星体(复制)
10110201725	Remix Resonance	混音共鸣
10110201726	Voice of the Soul	灵魂之音
10110201727	Resonance Focus	共振焦点
10110201728	Neon Spotlight	聚光霓虹
10110201729	Finale Impact	终场冲击
10110201730	Elemental Ensemble	元素合奏
10110201731	Prismatic Meteor	五彩流星
10110201732	Mixed Accompaniment	混合伴奏
10110201733	Disco Accent	重音迪斯科
10110201734	Angel Incarnate	天使加身
10110201735	Enlightenment	启蒙
10110201736	Evil Spirit Possession	恶灵附身
10110201737	Holy Judgment	圣裁
10110201738	Black Feather Burst	黑羽爆发
10110201739	Interwoven Light and Dark: Physical	光晦交织：物理
10110201740	Interwoven Light and Dark: Magic	光晦交织：魔法
10110201741	Equal Grace	匀赐
10110201742	Manifestation	显化
10110201743	Divine Remnant	神性残留
10110201744	Free Will	意志自由
10110201745	Coordinated Attack	协同攻击
10110201746	Black Feather Barrage	黑羽倾泻
10110201747	Praiser Priest Hymn: Equal Grace	赞美诗：匀赐
10110201748	Praiser Priest Hymn: Manifestation	赞美诗：显化
10110201749	Praiser Priest Hymn: Divine Remnant	赞美诗：神性残留
10110201750	Praiser Priest Hymn: Angel Incarnate	赞美诗：天使加身
10110201751	Exorciser Spell: Enlightenment	驱魔咒：启蒙
10110201752	Exorciser Spell: Free Will	驱魔咒：意志自由
10110201753	Exorciser Spell: Corruption	驱魔咒：堕落
10110201754	Exorciser Spell: Evil Spirit Possession	驱魔咒：恶灵附身
10110201755	S@{1}Axe Tornado Invincible Whirlwind	S@{1}战斧飓风无敌龙卷风
10110201756	S@{1}Cannon Pursuit	S@{1}加农炮追击
10110201757	S@{1}Soul Burst	S@{1}爆魂技
10110201758	S@{1}Vulcan Cannon@{2}	S@{1}火神炮@{2}
10110201759	S@{1}Cannon	S@{1}加农炮
10110201760	S@{1}Cannon Enhance@{2}	S@{1}加农炮强化@{2}
10110201761	S@{1}Flamethrower	S@{1}火焰喷射
10110201762	S@{1}High-Energy Impact	S@{1}高能冲击
10110201763	S@{1}High-Energy Pulse	S@{1}高能脉冲
10110201764	S@{1}Crescent Moonblade	S@{1}孤月斩轮
10110201765	S@{1}Demonic Roar	S@{1}恶魔咆哮
10110201766	Titan's Fury	泰坦之怒
10110201767	Seismic Cleave	裂地劈
10110201768	Hellhound King	地狱王狼
10110201769	Ultimate Hundred Spears	究极百矛穿刺
10110201770	True Dragon's Descent	真龙降临
10110201771	S@{1}Black Phantom Void	S@{1}黑色幻影虚空(无需翻译)
10110201772	S@{1}Cross Ripper Slasher Frenzy	S@{1}回旋十字斩发癫(无需翻译)
10110201773	S@{1}Rolling Blade Barrage	S@{1}回旋刀刃乱舞(无需翻译)
10110201774	Black Phantom	黑色幻影(无需翻译)
10110201775	Cross Ripper Slasher	回旋十字斩(无需翻译)
10110201776	Rolling Blade	回旋刀刃(无需翻译)
10110201777	Camouflage Enhance	伪装强化(无需翻译)
10110201778	S@{1}Shadow Loop	S@{1}影回环
10110201779	Soul Burst Technique	爆魂技(无需翻译)
10110201780	S@{1}Flowing Shadow	S@{1}流影
10110201781	S@{1}Thousand Shadows	S@{1}千影
10110201782	S@{1}Shadow Guard	S@{1}御影
10110201783	S@{1}Piercing Shadow	S@{1}穿影
10110201784	S@{1}Camouflage Enhance Dragon	S@{1}伪装强化龙龙(无需翻译)
10110201785	Elemental Annihilation	元素破灭
10110201786	Crimson Rock Lv.@{1}	深红陨石lv@{1}
10110201787	Cat o' Nine-Tail Normal Attack	狂暴月夜猫普攻【无需翻译】
10110201788	Cat o' Nine-Tail Skill	狂暴月夜猫技能【无需翻译】
10110201789	Orc Hero New Skill	兽人英雄新技能【无需翻译】
10110201790	Eddga New Skill	虎王新技能【无需翻译】
10110201791	Baphomet New Skill	巴风特新技能【无需翻译】
10110201792	Osiris New Skill	俄赛里斯新技能【无需翻译】
10110201793	Pharaoh New Skill	法老王新技能【无需翻译】
10110201794	Coffin Eruption@{1}	棺材喷发@{1}【无需翻译】
10110201795	Vocal Normal Attack	摇滚蝗虫普攻【无需翻译】
10110201796	Vocal Skill	摇滚蝗虫技能【无需翻译】
10110201797	Maya Purple Normal Attack	狂暴蚁后普攻【无需翻译】
10110201798	Maya Purple Skill	狂暴蚁后技能【无需翻译】
10110201799	Gryphon Normal Attack	狮鹫兽普攻【无需翻译】
10110201800	Gryphon Skill	狮鹫兽技能【无需翻译】
10110201801	Dark Priest Normal Attack	暗黑祭司普攻【无需翻译】
10110201802	Dark Priest Skill	暗黑祭司技能【无需翻译】
10110201803	Fatal Blow	攻击弱点
10110201804	Endure	霸体
10110201805	Increase Recuperative Power	快速恢复
10110201806	Sword Mastery	剑系熟练度
10110201807	Spear Expert	长矛专家
10110201808	Sword Quicken	剑攻速增加
10110201809	Bowling Bash	怪物互击
10110201810	Auto Counter	反击
10110201811	Brandish Spear	骑乘攻击
10110201812	Spear Stab	长矛刺击
10110201813	Spear Throw	投掷长矛
10110201814	Charge Attack	冲锋攻击
10110201815	Pierce	连刺攻击
10110201816	Rapid Pierce	连突刺
10110201817	Piercing Blast	连刺爆破
10110201818	Power Slash	强力斩击
10110201819	Heavy Blow	势大力沉
10110201820	Triple Slash	三段斩
10110201821	Greatsword Sweep Attack	大剑横扫
10110201822	Double Counter	双倍互击
10110201823	Aura Blade	灵气剑
10110201824	Head Crush	伤害增压
10110201825	Concentration	集中攻击
10110201826	Parry	双剑格挡
10110201827	Spiral Pierce	螺旋刺击
10110201828	Berserk	狂怒之枪
10110201829	Joint Beat	巧打
10110201830	Dragon Breath (Fire)	龙之吐息（火）
10110201831	Dragon Breath (Water)	龙之吐息（水）
10110201832	Dragon Howling	龙之咆哮
10110201833	Dragon Training	驯龙术
10110201834	Sonic Wave	音速冲击波
10110201835	Death Bound	死亡反弹
10110201836	Vivify	活力
10110201837	Enchant Blade	魔力剑
10110201838	Rune Mastery	卢恩精熟
10110201839	Hundred Spears Stack Monitor	百矛叠层监听（无需翻译）
10110201840	Slash Monitor	斩劈挥砍监听（无需翻译）
10110201841	Burn	灼烧
10110201842	Missile	导弹（无需翻译）
10110201843	Trap Hunter	陷阱（无需翻译）
10110201844	Darkness	暗黑（无需翻译）
10110201845	Shield	护盾（无需翻译）
10110201846	Speed Boost Trigger	触发加速（无需翻译）
10110201847	Pickup Trigger	触发拾取（无需翻译）
10110201848	YU-Sweep All Directions	YU-扫六合（无需翻译）
10110201849	Passive Skill@{1}	被动技能@{1}
10110201850	Active Skill@{1}	主动技能@{1}
10110201851	Dispel	解控
10110201853	Increase Dodge	残影
10110201854	Double Attack	二刀连击
10110201855	Hiding	隐匿
10110201856	Steal	偷窃
10110201857	Sand Puff	喷砂
10110201858	Detoxify	解毒
10110201859	Special Dual-Wield Logic	双持特殊逻辑
10110201860	Katar Mastery	拳刃修炼
10110201861	Supersonic Blow	超音速投掷
10110201862	Envenomed Blade	剧毒短刀
10110201863	Virus Spread	病毒散播
10110201864	Dual-Wield Mastery	双手修炼
10110201865	Grimtooth	无影之牙
10110201866	Venom Splasher	毒性感染
10110201867	Poisoned	中毒
10110201868	Dual-Wield Mastery	双持精通
10110201869	Assassin Cross Normal Attack	十字刺客普攻
10110201870	Deadly Poison	致命涂毒
10110201871	Create Deadly Poison	毒液制作
10110201872	Advanced Soul Destroyer	高阶心灵震波
10110201873	Cross Impact	十字斩
10110201874	Advanced Katar Mastery	高阶拳刃修炼
10110201875	Shadow Strike	影击
10110201876	Venom Sting	剧毒
10110201877	Blade Dance	刀剑乱舞
10110201878	Opening	可乘之机
10110201879	Chain Reaction	连锁反应
10110201880	Shadow Fang	有影之牙
10110201881	Sneak Attack	暗算
10110201882	Triple Slash	三刀连击
10110201883	Poisoned to the Core	正中毒心
10110201884	Toxic Rampage	毒大妄为
10110201885	Spreading Shockwave	震波扩散
10110201886	Hidden Blade	暗里藏刀
10110201887	Fatal Claw Marks	致命爪痕
10110201888	Antidote	解毒剂
10110201889	Prey on the Weak	恃强凌弱
10110201890	Shadow Break	影破
10110201891	Black Phantom Passive	黑色幻影被动
10110201892	Magic Reverberation	魔法回响
10110201893	Holy Light's Protection	圣光庇护
10110201894	Continuous Healing	连续治疗
10110201895	Pirate King Normal Attack	海盗之王普攻
10110201896	Cross Blast	十字轰炸
10110201897	Pirate King Slash	海盗之王劈砍
10110201898	Energy Coat	能量外套
10110201899	Soul Strike	圣灵召唤
10110201900	Fire Wall	火焰之壁
10110201901	Fire Ball	火球术
10110201902	Thunderstorm	雷爆术
10110201903	Frost Diver	冰冻术
10110201904	Stone Curse	石化术
10110201905	Mind Blast	心灵爆破
10110201906	Earth Spike	地震术
10110201907	Sightrasher	火之猎杀
10110201908	Frost Nova	霜冻之术
10110201909	Quagmire	泥沼地
10110201910	Fire Pillar	火柱攻击
10110201911	Meteor Storm	陨石术
10110201912	Sight Sprout	火狩芽
10110201913	Magic Crasher	魔击术
10110201914	Magic Cannon	魔击炮
10110201915	Mystical Amplification	魔力增幅
10110201916	Soul Drain	吸魂术
10110201917	Ganbantein	噶般塔音
10110201918	Elemental Pursuit	元素追击
10110201919	Elemental Shock	元素冲击
10110201920	Fireball Burst	火球爆裂
10110201921	Ice Spike	冰锥
10110201922	Thunderbolt	天雷
10110201923	Fire Explosion	火焰爆炸
10110201924	Ember Zone	余烬地带
10110201925	Frost Explosion	冰霜爆炸
10110201926	Spatial Distortion	空间扭曲
10110201927	Magic Frost	魔力霜冻
10110201928	Element Control	元素掌控
10110201929	Reading Spellbook	魔法书阅读
10110201930	Stop Reading	停止阅读
10110201931	Spellbook Page Passive	魔法书书页被动（无需翻译）
10110201932	Meteor	陨星
10110201933	Ice Blast	冰爆
10110201934	Thunder Blast	雷爆
10110201935	Earth Blast	土爆
